IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,65,0.00
34.64.46.166,443,443,true,NRT,Asia Pacific,Tokyo,70,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,Mumbai,73,0.00
34.64.46.166,443,443,true,NRT,Asia Pacific,Tokyo,74,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,74,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,Mumbai,74,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,76,0.00
34.64.46.166,443,443,true,ICN,Asia Pacific,Seoul,77,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,86,0.00
34.105.3.218,443,443,true,SEA,North America,Seattle,155,0.00
34.105.49.234,80,80,false,SEA,North America,Seattle,156,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,156,0.00
34.105.49.234,80,80,false,SEA,North America,Seattle,156,0.00
34.105.16.237,443,80,false,SEA,North America,Seattle,156,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,156,0.00
34.105.49.234,80,80,false,SEA,North America,Seattle,156,0.00
34.105.16.237,443,80,false,SEA,North America,Seattle,156,0.00
34.105.16.237,80,80,false,SEA,North America,Seattle,157,0.00
34.105.16.237,80,80,false,SEA,North America,Seattle,157,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,157,0.00
34.82.188.91,443,443,true,SEA,North America,Seattle,157,0.00
35.247.124.181,80,80,false,SEA,North America,Seattle,158,0.00
34.105.16.237,443,80,false,SEA,North America,Seattle,158,0.00
34.82.188.91,443,443,true,SEA,North America,Seattle,158,0.00
34.105.16.237,80,80,false,SEA,North America,Seattle,160,0.00
34.141.248.249,2052,80,false,AMS,Europe,Amsterdam,160,0.00
34.141.248.249,2082,80,false,AMS,Europe,Amsterdam,160,0.00
34.141.248.249,2095,80,false,AMS,Europe,Amsterdam,160,0.00
34.141.221.33,2053,80,false,AMS,Europe,Amsterdam,161,0.00
34.147.82.194,2053,80,false,AMS,Europe,Amsterdam,161,0.00
34.147.101.117,2082,80,false,AMS,Europe,Amsterdam,161,0.00
34.141.221.33,2052,80,false,AMS,Europe,Amsterdam,162,0.00
34.147.101.117,2053,80,false,AMS,Europe,Amsterdam,162,0.00
34.147.101.117,2086,80,false,AMS,Europe,Amsterdam,162,0.00
34.141.248.249,2053,80,false,AMS,Europe,Amsterdam,162,0.00
34.141.221.33,2083,80,false,AMS,Europe,Amsterdam,162,0.00
34.141.221.33,2087,80,false,AMS,Europe,Amsterdam,162,0.00
34.141.221.33,2086,80,false,AMS,Europe,Amsterdam,162,0.00
34.147.101.117,2083,80,false,AMS,Europe,Amsterdam,163,0.00
34.141.248.249,2096,80,false,AMS,Europe,Amsterdam,163,0.00
34.147.101.117,2096,80,false,AMS,Europe,Amsterdam,163,0.00
34.147.101.117,2052,80,false,AMS,Europe,Amsterdam,163,0.00
34.141.248.249,2087,80,false,AMS,Europe,Amsterdam,164,0.00
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,164,0.00
34.147.101.117,2087,80,false,SYD,Oceania,Sydney,164,0.00
34.141.221.33,2082,80,false,AMS,Europe,Amsterdam,164,0.00
34.147.101.117,2082,80,false,AMS,Europe,Amsterdam,164,0.00
34.147.101.117,2087,80,false,SYD,Oceania,Sydney,164,0.00
34.141.248.249,2086,80,false,AMS,Europe,Amsterdam,164,0.00
34.141.221.33,2095,80,false,AMS,Europe,Amsterdam,165,0.00
34.147.101.117,2053,80,false,AMS,Europe,Amsterdam,166,0.00
34.141.221.33,2096,80,false,AMS,Europe,Amsterdam,166,0.00
34.141.248.249,2083,80,false,AMS,Europe,Amsterdam,169,0.00
34.147.101.117,2083,80,false,AMS,Europe,Amsterdam,172,0.00
34.102.111.127,80,80,false,LAX,North America,Los Angeles,174,0.00
34.175.95.58,2095,80,false,MAD,Europe,Madrid,178,0.00
34.175.161.245,2086,80,false,MAD,Europe,Madrid,178,0.00
34.175.99.73,2096,80,false,MAD,Europe,Madrid,178,0.00
34.175.244.157,2083,80,false,MAD,Europe,Madrid,178,0.00
34.175.161.245,2087,80,false,MAD,Europe,Madrid,178,0.00
34.175.244.157,2082,80,false,MAD,Europe,Madrid,178,0.00
34.175.133.251,2053,80,false,MAD,Europe,Madrid,178,0.00
34.175.161.245,2053,80,false,MAD,Europe,Madrid,179,0.00
34.175.99.73,2095,80,false,MAD,Europe,Madrid,179,0.00
34.175.7.231,2082,80,false,MAD,Europe,Madrid,179,0.00
34.175.161.245,2083,80,false,MAD,Europe,Madrid,179,0.00
34.175.95.58,2096,80,false,MAD,Europe,Madrid,179,0.00
34.175.133.251,2087,80,false,MAD,Europe,Madrid,180,0.00
34.175.161.245,2096,80,false,MAD,Europe,Madrid,180,0.00
34.175.244.157,2052,80,false,MAD,Europe,Madrid,180,0.00
34.175.133.251,2082,80,false,MAD,Europe,Madrid,181,0.00
34.175.99.73,2086,80,false,MAD,Europe,Madrid,181,0.00
34.175.161.245,2052,80,false,MAD,Europe,Madrid,181,0.00
34.175.133.251,2095,80,false,MAD,Europe,Madrid,181,0.00
34.175.168.99,2087,80,false,MAD,Europe,Madrid,181,0.00
34.175.244.157,2096,80,false,MAD,Europe,Madrid,181,0.00
34.175.244.157,2086,80,false,MAD,Europe,Madrid,181,0.00
34.175.7.231,2053,80,false,MAD,Europe,Madrid,182,0.00
34.175.161.245,2095,80,false,MAD,Europe,Madrid,182,0.00
34.175.95.58,2082,80,false,MAD,Europe,Madrid,182,0.00
34.175.244.157,2087,80,false,MAD,Europe,Madrid,182,0.00
34.175.7.231,2087,80,false,MAD,Europe,Madrid,182,0.00
34.175.95.58,2052,80,false,MAD,Europe,Madrid,182,0.00
34.175.244.157,2053,80,false,MAD,Europe,Madrid,182,0.00
34.175.7.231,2052,80,false,MAD,Europe,Madrid,182,0.00
34.175.95.58,2053,80,false,MAD,Europe,Madrid,182,0.00
34.175.161.245,2082,80,false,MAD,Europe,Madrid,183,0.00
34.175.143.15,2095,80,false,MAD,Europe,Madrid,183,0.00
34.175.244.157,2095,80,false,MAD,Europe,Madrid,183,0.00
34.175.99.73,2052,80,false,MAD,Europe,Madrid,184,0.00
34.175.95.58,2086,80,false,MAD,Europe,Madrid,185,0.00
34.147.82.194,2053,80,false,AMS,Europe,Amsterdam,185,0.00
34.102.111.127,80,80,false,LAX,North America,Los Angeles,186,0.00
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,189,0.00
34.147.101.117,2086,80,false,AMS,Europe,Amsterdam,191,0.00
34.102.111.127,80,80,false,LAX,North America,Los Angeles,204,0.00
35.188.87.85,80,8080,false,ORD,North America,Chicago,207,0.00
35.225.207.21,80,80,false,ORD,North America,Chicago,207,0.00
34.132.249.182,8080,80,false,ORD,North America,Chicago,207,0.00
35.232.39.116,80,80,false,ORD,North America,Chicago,208,0.00
34.105.3.218,443,443,true,SEA,North America,Seattle,210,0.00
34.135.226.181,80,80,false,ORD,North America,Chicago,210,0.00
35.239.252.197,80,80,false,ORD,North America,Chicago,219,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,219,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,219,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,220,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,220,0.00
34.75.244.180,80,80,false,ATL,North America,Atlanta,220,0.00
34.75.244.180,80,80,false,ATL,North America,Atlanta,224,0.00
34.75.244.180,80,80,false,ATL,North America,Atlanta,224,0.00
34.147.101.117,2052,80,false,AMS,Europe,Amsterdam,337,0.00
34.145.66.39,8080,8080,false,BOM,Asia Pacific,Mumbai,417,0.00
34.75.244.180,80,80,false,ATL,North America,Atlanta,455,0.00
